"","true_like","ml_like","ml_X1","ml_X2","ml_X3","ml_X4","true_X1","true_X2","true_X3","true_X4","M","N","z","run","seed","p","nbio","nevents"
"sub",-260.168275416792,-260.168275416792,3,3,2,1,3,3,2,1,100,4,1,1,11007541,0.75,4,1
"sub.1",-265.401260118548,-264.354855994188,2,3,4,1,2,2,3,1,100,4,2,1,11007542,0.75,4,1
"sub.2",-263.795839608852,-263.795839608852,1,1,1,1,1,1,1,1,100,4,3,1,11007543,0.75,4,1
"sub.3",-264.900628490066,-264.46045051756,1,2,3,4,1,1,2,3,100,4,4,1,11007544,0.75,4,1
"sub.4",-263.07728057445,-263.07728057445,4,1,3,2,4,1,3,2,100,4,5,1,11007545,0.75,4,1
"sub.5",-249.526872883913,-249.526872883913,1,1,1,2,1,1,1,2,100,4,6,1,11007546,0.75,4,1
"sub.6",-263.750702711721,-263.750702711721,3,3,2,1,3,3,2,1,100,4,7,1,11007547,0.75,4,1
"sub.7",-259.230667758818,-259.230667758818,1,1,1,1,1,1,1,1,100,4,8,1,11007548,0.75,4,1
"sub.8",-262.053869151898,-260.71638911126,1,2,3,4,1,1,2,3,100,4,9,1,11007549,0.75,4,1
"sub.9",-264.428651639954,-264.428651639954,2,1,2,2,2,1,2,2,100,4,10,1,110075410,0.75,4,1
"sub.10",-256.927578242242,-256.927578242242,2,1,3,3,2,1,3,3,100,4,11,1,110075411,0.75,4,1
"sub.11",-265.531371266634,-262.900772381558,2,4,1,3,1,2,1,2,100,4,12,1,110075412,0.75,4,1
"sub.12",-272.009810720904,-272.009810720904,2,2,1,3,2,2,1,3,100,4,13,1,110075413,0.75,4,1
"sub.13",-259.349477387419,-259.349477387419,2,3,1,3,2,3,1,3,100,4,14,1,110075414,0.75,4,1
"sub.14",-260.747015248186,-260.747015248186,1,1,1,1,1,1,1,1,100,4,15,1,110075415,0.75,4,1
"sub.15",-273.502261690208,-272.226269531992,2,3,4,1,2,3,3,1,100,4,16,1,110075416,0.75,4,1
"sub.16",-260.730885866256,-260.730885866256,1,1,1,1,1,1,1,1,100,4,17,1,110075417,0.75,4,1
"sub.17",-263.415239908467,-263.415239908467,2,1,2,3,2,1,2,3,100,4,18,1,110075418,0.75,4,1
"sub.18",-252.786291279011,-252.786291279011,1,2,1,1,1,2,1,1,100,4,19,1,110075419,0.75,4,1
"sub.19",-261.755784618941,-261.755784618941,2,1,1,1,2,1,1,1,100,4,20,1,110075420,0.75,4,1
"sub1",-269.498593256745,-269.498593256745,2,1,3,1,2,1,3,1,100,4,1,10,101007541,0.75,3,2
"sub.110",-263.519954543581,-263.519954543581,2,4,1,3,2,4,1,3,100,4,2,10,101007542,0.75,3,2
"sub.21",-257.977001685872,-257.977001685872,3,1,2,3,3,1,2,3,100,4,3,10,101007543,0.75,3,2
"sub.31",-263.859538855178,-263.60560785514,3,2,1,1,2,2,1,1,100,4,4,10,101007544,0.75,3,2
"sub.41",-263.471810478421,-262.135490163906,2,3,1,4,1,2,1,3,100,4,5,10,101007545,0.75,3,2
"sub.51",-267.436641939017,-264.510118967247,4,2,1,3,3,1,1,2,100,4,6,10,101007546,0.75,3,2
"sub.61",-263.331765706148,-263.331765706148,1,3,3,2,1,3,3,2,100,4,7,10,101007547,0.75,3,2
"sub.71",-265.565766710474,-265.565766710474,2,3,3,1,2,3,3,1,100,4,8,10,101007548,0.75,3,2
"sub.81",-270.785223077836,-270.785223077836,1,1,2,1,1,1,2,1,100,4,9,10,101007549,0.75,3,2
"sub.91",-279.714742257992,-275.306244910944,2,1,1,3,1,2,1,3,100,4,10,10,1010075410,0.75,3,2
"sub.101",-267.404926318367,-265.616850478315,2,1,1,2,2,1,1,3,100,4,11,10,1010075411,0.75,3,2
"sub.111",-267.303191020123,-265.809913107808,2,4,1,3,2,3,1,3,100,4,12,10,1010075412,0.75,3,2
"sub.121",-253.220866223089,-253.220866223089,1,1,1,2,1,1,1,2,100,4,13,10,1010075413,0.75,3,2
"sub.131",-263.011671496023,-260.970458179385,2,3,1,3,2,2,1,2,100,4,14,10,1010075414,0.75,3,2
"sub.141",-263.12241801024,-263.12241801024,1,2,4,3,1,2,4,3,100,4,15,10,1010075415,0.75,3,2
"sub.151",-257.235753409543,-255.113500438661,2,1,1,1,1,1,1,1,100,4,16,10,1010075416,0.75,3,2
"sub.161",-261.57131779488,-261.57131779488,2,3,3,1,2,3,3,1,100,4,17,10,1010075417,0.75,3,2
"sub.171",-262.038472379541,-259.94279394103,2,3,1,4,1,3,2,4,100,4,18,10,1010075418,0.75,3,2
"sub.181",-261.891765910145,-261.891765910145,2,1,1,1,2,1,1,1,100,4,19,10,1010075419,0.75,3,2
"sub.191",-257.749769207096,-257.749769207096,1,2,3,1,1,2,3,1,100,4,20,10,1010075420,0.75,3,2
